#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   8.91  0.39  0.17657 -2.393 3.512  5.073 10.50  0.037 0.99 20.520 25.717 24.213 22.616 21.447 20.007 18.688 18.144 17.883  0.177 
 1   8.93 -0.17  0.46526 -1.439 3.598  4.884 10.40  0.037 0.00 18.769 22.122 21.063 19.774 18.894 18.102 17.160 16.517 16.371  0.465 
 1   8.93  0.03  0.73478 -0.784 3.658  4.668 11.20  0.038 0.00 17.930 20.500 19.582 18.483 17.800 17.263 16.493 15.859 15.778  0.735 
 1   8.93  0.09  0.76554 -0.714 3.666  4.647  9.50  0.035 0.00 16.056 18.515 17.628 16.553 15.895 15.378 14.637 14.031 13.954  0.766 
 1   8.93  0.33  0.28590 -1.965 3.548  4.998  7.40  0.024 0.00 17.082 21.470 20.141 18.669 17.644 16.468 15.337 14.763 14.527  0.286 
 1   8.95  0.01  2.18400  1.567 3.692  2.923 10.50  0.037 0.76 11.108 12.495 12.124 11.344 10.885 10.484  9.893  9.412  9.351  2.184 
 1   8.95  0.07  0.15423 -2.532 3.499  5.101 11.40  0.038 0.87 21.931 27.613 25.979 24.309 23.054 21.480 20.055 19.519 19.244  0.154 
 1   8.95  0.45  0.20098 -2.253 3.531  5.063 10.40  0.037 0.74 20.388 25.379 23.930 22.370 21.239 19.859 18.570 18.020 17.763  0.201 
 1   8.97 -0.29  0.41760 -1.535 3.596  4.923 11.50  0.038 0.00 20.108 23.481 22.422 21.115 20.228 19.437 18.497 17.873 17.716  0.418 
 1   8.97 -0.19  0.45071 -1.472 3.596  4.895 13.70  0.038 0.00 22.150 25.539 24.473 23.175 22.288 21.483 20.535 19.900 19.749  0.451 
 1   8.97 -0.15  0.24158 -2.055 3.558  5.054  5.40  0.013 0.00 15.306 19.498 18.183 16.723 15.727 14.662 13.587 13.010 12.789  0.242 
 1   8.97 -0.05  1.19805  0.301 3.801  4.366  7.40  0.024 0.00 11.417 11.945 11.962 11.451 11.140 10.869 10.541 10.283 10.259  1.198 
 1   8.97  0.03  0.36759 -1.720 3.571  4.952  8.00  0.028 0.00 17.070 20.965 19.798 18.441 17.471 16.416 15.354 14.767 14.573  0.368 
 1   8.97  0.03  0.21185 -2.194 3.541  5.069 10.50  0.037 0.00 20.755 25.315 23.945 22.441 21.388 20.162 18.996 18.430 18.189  0.212 
 1   8.97  0.53  0.14130 -2.658 3.483  5.125  9.20  0.034 0.77 20.158 26.410 24.612 22.867 21.507 19.787 18.232 17.698 17.413  0.141 
 1   8.99 -0.15  0.69732 -0.831 3.658  4.692  8.50  0.031 0.00 15.347 17.827 16.964 15.885 15.213 14.678 13.914 13.282 13.199  0.697 
 1   8.99 -0.03  0.31056 -1.867 3.564  4.999  7.10  0.023 0.75 16.049 20.200 18.935 17.506 16.511 15.411 14.322 13.743 13.525  0.311 
 1   8.99 -0.03  0.09021 -3.243 3.425  5.282  9.70  0.036 0.00 22.577 31.158 28.468 26.431 24.663 22.511 20.528 19.988 19.692  0.090 
 1   8.99  0.33  0.12918 -2.777 3.473  5.163 10.80  0.038 0.94 21.843 28.328 26.433 24.652 23.253 21.489 19.907 19.373 19.085  0.129 
 1   9.01 -0.05  0.16947 -2.437 3.517  5.119  9.40  0.035 0.92 19.615 24.840 23.291 21.675 20.511 19.092 17.790 17.241 16.981  0.169 
 1   9.01  0.03  0.82823 -0.536 3.692  4.608  8.40  0.031 0.99 13.796 15.797 15.111 14.136 13.564 13.106 12.453 11.920 11.856  0.828 
 1   9.01  0.05  0.82843 -0.540 3.691  4.607  7.80  0.027 0.86 13.490 15.671 14.920 13.906 13.295 12.806 12.106 11.529 11.457  0.828 
 1   9.01  0.11  0.49204 -1.415 3.591  4.854 13.60  0.038 0.77 21.447 25.127 24.014 22.714 21.780 20.802 19.766 19.141 18.975  0.492 
 1   9.01  0.15  0.34696 -1.788 3.562  4.962  8.50  0.031 0.00 17.740 21.829 20.605 19.214 18.222 17.108 16.012 15.425 15.217  0.347 
 1   9.01  0.19  0.22675 -2.158 3.536  5.043 10.60  0.037 0.00 20.764 25.405 24.024 22.512 21.444 20.182 18.992 18.430 18.186  0.227 
 1   9.01  0.27  2.29277  2.291 3.638  2.007 11.90  0.038 0.00 10.942 14.336 12.940 11.593 10.885 10.300  9.431  8.776  8.672  2.293 
 1   9.01  0.41  0.32419 -1.855 3.556  4.974 10.60  0.037 0.00 20.007 24.252 22.983 21.560 20.550 19.393 18.271 17.685 17.464  0.324 
 1   9.03 -0.11  0.19354 -2.261 3.541  5.095 10.20  0.037 0.00 20.622 25.239 23.813 22.277 21.224 20.027 18.872 18.303 18.060  0.194 
 1   9.03  0.11  0.31039 -1.882 3.557  4.987 10.50  0.037 0.00 19.976 24.187 22.917 21.488 20.484 19.354 18.247 17.664 17.444  0.310 
 1   9.05 -0.31  0.27314 -1.926 3.574  5.041  8.10  0.029 0.84 17.102 21.028 19.787 18.358 17.391 16.442 15.418 14.840 14.635  0.273 
 1   9.05 -0.19  0.38254 -1.646 3.585  4.951 12.20  0.038 0.00 21.084 24.703 23.581 22.239 21.312 20.419 19.428 18.825 18.650  0.383 
 1   9.05 -0.03  0.27644 -1.964 3.558  5.021 12.00  0.038 0.00 21.680 25.883 24.601 23.161 22.161 21.053 19.957 19.377 19.156  0.276 
 1   9.05  0.05  1.51269  0.799 3.843  4.135  9.70  0.036 0.97 11.806 12.186 12.191 11.808 11.571 11.365 11.127 10.950 10.931  1.513 
 1   9.05  0.13  0.26770 -2.011 3.548  5.014  8.90  0.033 0.70 18.270 22.814 21.454 19.957 18.907 17.678 16.507 15.941 15.699  0.268 
 1   9.05  0.15  0.08935 -3.278 3.416  5.276  8.80  0.033 0.00 21.764 30.812 27.934 25.845 23.997 21.780 19.698 19.155 18.856  0.089 
 1   9.07 -0.25  0.24017 -2.042 3.564  5.062  9.40  0.035 0.00 19.276 23.379 22.082 20.625 19.640 18.632 17.580 17.000 16.786  0.240 
 1   9.07 -0.07  0.21682 -2.161 3.548  5.072  8.30  0.030 0.00 18.471 22.918 21.544 20.044 19.016 17.858 16.733 16.160 15.923  0.217 
 1   9.07 -0.07  0.10201 -3.037 3.455  5.249 10.20  0.037 0.00 22.562 29.858 27.607 25.705 24.175 22.274 20.590 20.047 19.765  0.102 
 1   9.07 -0.05  0.72617 -0.784 3.662  4.678 13.70  0.038 0.00 20.431 22.901 22.031 20.955 20.289 19.762 19.007 18.384 18.305  0.726 
 1   9.07  0.05  0.89225 -0.377 3.715  4.572  9.80  0.036 0.00 15.512 17.122 16.623 15.739 15.238 14.828 14.257 13.798 13.745  0.892 
