objName,raMean,decMean,rMeanApMag,rMeanPSFMag,qualityFlag
string,ra,dec,float,float,integer
PSO J054520.019+205711.787,05 45 20.020,+20 57 11.77,21.355,21.411,52
PSO J054456.851+205801.281,05 44 56.852,+20 58 01.22,21.792,22.251,52
PSO J054519.380+210255.448,05 45 19.381,+21 02 55.41,21.700,21.422,52
PSO J054454.582+210038.072,05 44 54.583,+21 00 38.01,21.395,22.357,37
PSO J054503.262+205641.759,05 45 03.261,+20 56 41.67,21.652,21.761,52
PSO J054454.409+205935.606,05 44 54.410,+20 59 35.53,21.916,22.385,36
PSO J054457.756+205742.589,05 44 57.758,+20 57 42.55,18.958,19.047,60
PSO J054525.284+205910.836,05 45 25.291,+20 59 10.62,21.514,22.350,36
PSO J054520.524+210243.512,05 45 20.525,+21 02 43.45,22.167,21.787,52
PSO J054522.510+210213.371,05 45 22.511,+21 02 13.33,15.004,15.008,60
PSO J054502.373+205647.433,05 45 02.378,+20 56 47.33,21.500,21.462,52
PSO J054518.514+205654.811,05 45 18.513,+20 56 54.73,20.962,20.981,52
PSO J054515.869+210324.455,05 45 15.870,+21 03 24.42,14.990,15.001,60
PSO J054456.980+210204.762,05 44 56.982,+21 02 04.73,21.373,21.321,52
PSO J054455.810+210137.131,05 44 55.811,+21 01 37.09,18.034,18.030,60
PSO J054457.993+205736.368,05 44 57.994,+20 57 36.37,23.599,21.437,32
PSO J054525.707+205936.292,05 45 25.710,+20 59 36.27,20.261,20.219,52
PSO J054456.470+210154.641,05 44 56.471,+21 01 54.59,21.403,22.278,37
PSO J054512.976+210337.469,05 45 12.977,+21 03 37.45,21.620,22.298,164
PSO J054459.635+205712.783,05 44 59.636,+20 57 12.73,19.518,19.507,52
PSO J054525.757+205940.421,05 45 25.758,+20 59 40.37,21.881,21.727,52
PSO J054505.456+205627.843,05 45 05.456,+20 56 27.78,21.587,21.604,52
PSO J054518.203+205650.592,05 45 18.201,+20 56 50.51,21.450,21.659,52
PSO J054525.736+210023.969,05 45 25.736,+21 00 23.93,18.708,18.693,52
PSO J054525.788+205942.800,05 45 25.788,+20 59 42.77,20.452,20.443,52
PSO J054457.191+210210.507,05 44 57.191,+21 02 10.48,21.154,22.306,164
PSO J054458.026+210225.266,05 44 58.027,+21 02 25.22,21.706,22.402,37
PSO J054501.905+205649.300,05 45 01.904,+20 56 49.21,21.085,22.404,36
PSO J054513.046+205622.187,05 45 13.047,+20 56 22.16,20.084,20.088,52
PSO J054518.791+205655.196,05 45 18.794,+20 56 55.15,19.656,19.598,52
PSO J054523.917+210146.791,05 45 23.915,+21 01 46.83,21.576,21.722,52
PSO J054508.989+205618.167,05 45 08.991,+20 56 18.13,21.714,21.409,52
PSO J054506.312+210336.379,05 45 06.315,+21 03 36.37,19.088,18.262,36
PSO J054522.206+205737.659,05 45 22.208,+20 57 37.62,20.544,20.361,52
PSO J054515.766+205632.621,05 45 15.765,+20 56 32.53,22.204,22.161,52
PSO J054455.898+210143.178,05 44 55.900,+21 01 43.13,19.106,19.673,37
PSO J054456.917+205753.271,05 44 56.917,+20 57 53.19,21.941,22.512,36
PSO J054524.301+205822.308,05 45 24.300,+20 58 22.28,21.677,21.264,52
PSO J054521.811+210229.645,05 45 21.812,+21 02 29.60,19.579,19.579,52
PSO J054454.907+210111.622,05 44 54.911,+21 01 11.56,19.620,19.638,52
PSO J054525.167+210108.345,05 45 25.168,+21 01 08.31,20.992,21.741,36
PSO J054513.366+205621.924,05 45 13.367,+20 56 21.89,17.787,17.774,60
PSO J054504.084+205632.827,05 45 04.086,+20 56 32.79,19.233,19.243,60
PSO J054454.847+210109.312,05 44 54.848,+21 01 09.25,21.412,21.588,52
PSO J054518.043+210312.903,05 45 18.044,+21 03 12.83,20.061,20.027,52
PSO J054510.008+205616.748,05 45 10.008,+20 56 16.66,22.110,21.656,52
PSO J054520.703+210245.665,05 45 20.703,+21 02 45.62,20.987,20.914,52
PSO J054458.976+205718.573,05 44 58.978,+20 57 18.53,20.613,20.588,52
PSO J054454.077+205940.685,05 44 54.077,+20 59 40.62,22.031,21.367,36
PSO J054515.145+205628.123,05 45 15.145,+20 56 28.03,22.117,21.905,52
PSO J054455.234+210126.195,05 44 55.236,+21 01 26.14,19.314,18.792,36
PSO J054503.940+210327.365,05 45 03.939,+21 03 27.32,21.675,21.407,52
PSO J054504.011+205632.237,05 45 04.012,+20 56 32.24,22.729,21.605,32
PSO J054454.688+205854.779,05 44 54.690,+20 58 54.72,19.788,20.344,61
PSO J054516.752+210323.587,05 45 16.752,+21 03 23.57,21.265,21.188,52
PSO J054514.149+205623.199,05 45 14.150,+20 56 23.18,20.366,20.354,52
PSO J054511.653+210343.962,05 45 11.653,+21 03 43.87,21.503,21.297,164
PSO J054455.145+210126.061,05 44 55.146,+21 01 26.01,19.944,19.826,36
PSO J054458.685+210240.019,05 44 58.689,+21 02 39.95,21.294,21.558,52
PSO J054454.669+210107.810,05 44 54.671,+21 01 07.77,20.179,20.213,52
PSO J054524.919+210123.864,05 45 24.920,+21 01 23.84,19.414,18.691,36
PSO J054523.800+205804.501,05 45 23.798,+20 58 04.44,20.857,20.696,52
PSO J054516.250+205632.250,05 45 16.245,+20 56 32.15,22.597,22.157,52
PSO J054506.093+205621.329,05 45 06.093,+20 56 21.23,21.881,22.168,52
PSO J054457.868+205731.672,05 44 57.871,+20 57 31.62,19.762,19.736,52
PSO J054504.214+210330.759,05 45 04.216,+21 03 30.72,18.657,18.603,60
PSO J054514.628+205623.720,05 45 14.629,+20 56 23.73,21.353,21.266,52
PSO J054453.998+205930.069,05 44 53.998,+20 59 30.00,21.488,22.303,36
PSO J054524.958+210125.759,05 45 24.959,+21 01 25.71,15.616,15.634,60
PSO J054454.317+205905.208,05 44 54.322,+20 59 05.11,20.300,20.328,52
PSO J054507.653+210343.986,05 45 07.656,+21 03 43.93,19.686,19.644,52
PSO J054506.299+205619.598,05 45 06.299,+20 56 19.50,21.919,22.246,36
PSO J054454.491+210105.117,05 44 54.496,+21 01 05.06,19.455,19.484,60
PSO J054456.927+205746.434,05 44 56.928,+20 57 46.40,19.027,19.002,52
PSO J054509.895+210346.837,05 45 09.896,+21 03 46.83,21.024,21.110,52
PSO J054508.777+210346.260,05 45 08.776,+21 03 46.24,20.856,20.778,52
PSO J054521.509+205719.906,05 45 21.512,+20 57 19.84,20.398,20.679,53
PSO J054521.556+205720.144,05 45 21.535,+20 57 20.00,20.433,20.725,53
PSO J054509.700+210347.536,05 45 09.704,+21 03 47.46,20.778,20.655,52
PSO J054511.246+205613.156,05 45 11.247,+20 56 13.12,20.524,20.438,52
PSO J054455.001+205832.345,05 44 55.003,+20 58 32.31,20.732,20.616,52
PSO J054510.486+210347.547,05 45 10.486,+21 03 47.51,18.124,18.131,60
PSO J054519.138+210308.314,05 45 19.139,+21 03 08.30,21.693,21.806,52
PSO J054503.620+205630.457,05 45 03.622,+20 56 30.41,18.599,18.591,52
PSO J054518.204+205643.286,05 45 18.207,+20 56 43.24,19.301,19.264,60
PSO J054520.135+205701.651,05 45 20.137,+20 57 01.62,15.820,15.831,60
PSO J054526.156+210029.668,05 45 26.157,+21 00 29.63,19.115,19.076,52
PSO J054526.269+205946.665,05 45 26.270,+20 59 46.62,17.012,17.006,60
PSO J054525.872+205908.168,05 45 25.873,+20 59 08.12,19.039,18.971,52
PSO J054514.365+210339.979,05 45 14.368,+21 03 39.96,22.105,21.948,52
PSO J054524.872+205826.479,05 45 24.873,+20 58 26.42,19.719,19.037,32
PSO J054513.419+205616.569,05 45 13.419,+20 56 16.54,20.177,20.159,52
PSO J054501.497+205644.868,05 45 01.497,+20 56 44.78,20.902,22.258,37
PSO J054504.665+205623.631,05 45 04.680,+20 56 23.71,18.824,18.947,60
PSO J054456.232+205756.686,05 44 56.234,+20 57 56.63,18.537,18.524,60
PSO J054514.181+205618.644,05 45 14.182,+20 56 18.64,20.916,20.919,52
PSO J054509.647+205611.014,05 45 09.647,+20 56 10.92,21.315,21.138,52
PSO J054457.038+205740.144,05 44 57.038,+20 57 40.14,22.092,21.093,32
PSO J054502.051+210320.431,05 45 02.051,+21 03 20.40,13.984,14.003,60
PSO J054509.432+210349.307,05 45 09.432,+21 03 49.27,20.453,20.316,52
PSO J054501.975+210320.409,05 45 01.977,+21 03 20.39,18.247,17.999,32
PSO J054519.893+205656.620,05 45 19.894,+20 56 56.59,17.024,17.025,60
PSO J054453.596+210012.336,05 44 53.597,+21 00 12.25,22.395,21.822,52
PSO J054526.402+210012.977,05 45 26.403,+21 00 12.98,19.728,20.168,33
PSO J054523.065+205739.938,05 45 23.066,+20 57 39.91,17.736,17.729,60
PSO J054504.256+205624.173,05 45 04.251,+20 56 24.04,21.770,22.058,52
PSO J054502.729+210327.053,05 45 02.729,+21 03 27.04,20.390,20.281,52
PSO J054511.172+205609.871,05 45 11.170,+20 56 09.78,21.633,21.869,52
PSO J054516.912+205630.381,05 45 16.914,+20 56 30.34,18.213,18.223,60
PSO J054521.257+210248.831,05 45 21.257,+21 02 48.81,20.935,20.805,52
PSO J054501.462+205642.473,05 45 01.461,+20 56 42.38,21.001,21.782,37
PSO J054516.704+210331.090,05 45 16.706,+21 03 31.08,20.807,20.786,52
PSO J054457.402+205730.817,05 44 57.403,+20 57 30.82,25.441,22.327,32
PSO J054455.408+210147.940,05 44 55.408,+21 01 47.90,19.610,19.613,52
PSO J054521.642+205716.243,05 45 21.642,+20 57 16.18,22.575,22.140,52
PSO J054501.304+205643.640,05 45 01.302,+20 56 43.56,21.466,22.343,36
PSO J054459.283+205704.282,05 44 59.283,+20 57 04.19,22.311,21.880,36
PSO J054504.480+205622.192,05 45 04.479,+20 56 22.10,19.067,18.922,36
PSO J054453.707+210038.494,05 44 53.708,+21 00 38.46,21.063,21.594,52
PSO J054517.810+205636.110,05 45 17.810,+20 56 36.11,18.518,18.687,33
PSO J054526.510+210009.625,05 45 26.511,+21 00 09.63,19.019,19.492,33
PSO J054454.491+205839.828,05 44 54.494,+20 58 39.77,17.476,17.484,60
PSO J054455.618+205805.809,05 44 55.620,+20 58 05.75,17.462,17.464,60
PSO J054522.126+205722.618,05 45 22.127,+20 57 22.62,21.843,21.965,32
PSO J054500.389+205651.619,05 45 00.392,+20 56 51.55,20.436,20.456,52
PSO J054525.651+205844.419,05 45 25.652,+20 58 44.38,18.491,18.506,52
PSO J054516.098+205624.294,05 45 16.100,+20 56 24.27,21.290,21.197,52
PSO J054453.472+205942.173,05 44 53.473,+20 59 42.11,18.283,19.041,37
PSO J054510.526+205608.026,05 45 10.528,+20 56 07.98,19.841,19.776,52
PSO J054456.921+205737.381,05 44 56.923,+20 57 37.32,17.480,17.485,60
PSO J054453.396+210000.139,05 44 53.397,+21 00 00.07,21.764,21.461,36
PSO J054457.189+210228.074,05 44 57.191,+21 02 27.99,19.999,21.217,37
PSO J054515.837+210337.806,05 45 15.840,+21 03 37.78,21.567,21.757,52
PSO J054500.617+210312.134,05 45 00.619,+21 03 12.08,21.039,20.833,52
PSO J054513.002+205611.010,05 45 13.005,+20 56 10.99,17.455,17.492,60
PSO J054457.176+210228.303,05 44 57.174,+21 02 28.26,20.942,21.648,53
PSO J054453.380+205950.192,05 44 53.381,+20 59 50.12,21.521,22.037,52
PSO J054520.454+205658.909,05 45 20.455,+20 56 58.83,20.591,20.591,52
PSO J054525.467+210125.914,05 45 25.468,+21 01 25.88,18.718,18.593,36
PSO J054453.549+205923.926,05 44 53.549,+20 59 23.86,22.416,22.254,52
PSO J054517.913+205634.802,05 45 17.914,+20 56 34.77,13.691,13.708,60
PSO J054500.648+205646.968,05 45 00.651,+20 56 46.92,21.178,21.308,52
PSO J054525.797+205846.035,05 45 25.798,+20 58 45.98,21.282,21.064,52
PSO J054520.145+205654.970,05 45 20.146,+20 56 54.93,16.684,16.686,60
PSO J054504.371+210339.944,05 45 04.374,+21 03 39.91,20.198,21.347,52
PSO J054517.682+210327.454,05 45 17.682,+21 03 27.42,17.587,17.593,60
PSO J054519.734+210309.824,05 45 19.735,+21 03 09.78,18.819,18.732,52
PSO J054453.789+205904.018,05 44 53.790,+20 59 03.94,19.869,21.057,37
PSO J054517.081+210331.955,05 45 17.082,+21 03 31.93,20.781,20.780,52
PSO J054521.350+210251.828,05 45 21.352,+21 02 51.83,21.217,21.298,52
PSO J054509.711+210354.110,05 45 09.713,+21 03 54.08,19.810,19.757,52
PSO J054524.320+210201.015,05 45 24.323,+21 02 00.96,19.239,19.218,52
PSO J054526.257+205904.914,05 45 26.256,+20 59 04.90,22.588,21.904,36
PSO J054513.504+210349.065,05 45 13.504,+21 03 49.04,20.573,20.704,52
PSO J054523.269+205737.402,05 45 23.270,+20 57 37.33,22.696,22.247,36
PSO J054512.464+205607.862,05 45 12.464,+20 56 07.85,20.549,20.585,52
PSO J054457.938+210243.014,05 44 57.938,+21 02 43.01,21.153,21.334,32
PSO J054453.257+205946.505,05 44 53.260,+20 59 46.46,20.228,20.309,52
PSO J054453.290+210019.859,05 44 53.290,+21 00 19.81,21.506,21.396,52
PSO J054513.525+205610.448,05 45 13.524,+20 56 10.20,22.555,21.706,52
PSO J054503.052+210334.002,05 45 03.050,+21 03 33.99,21.230,21.085,52
PSO J054523.716+205744.019,05 45 23.717,+20 57 43.99,17.475,17.467,60
PSO J054517.697+205630.698,05 45 17.703,+20 56 30.75,19.086,18.957,53
PSO J054500.169+205649.043,05 45 00.169,+20 56 48.96,21.639,21.551,52
PSO J054454.523+210132.405,05 44 54.526,+21 01 32.34,19.911,19.873,52
PSO J054454.955+210145.429,05 44 54.957,+21 01 45.40,20.634,21.463,52
PSO J054513.816+210349.562,05 45 13.818,+21 03 49.56,22.304,21.966,52
PSO J054459.318+205657.951,05 44 59.318,+20 56 57.86,19.929,20.893,37
PSO J054525.056+205814.727,05 45 25.058,+20 58 14.68,20.249,20.133,52
PSO J054514.929+205614.403,05 45 14.932,+20 56 14.36,22.305,21.487,52
PSO J054501.246+205637.926,05 45 01.246,+20 56 37.93,20.829,20.657,32
PSO J054453.110+205957.576,05 44 53.114,+20 59 57.49,19.360,19.358,60
PSO J054502.839+205625.670,05 45 02.841,+20 56 25.63,16.973,16.984,60
PSO J054505.154+210346.953,05 45 05.155,+21 03 46.93,20.342,21.469,53
PSO J054526.871+205942.718,05 45 26.871,+20 59 42.68,22.226,22.201,52
PSO J054526.789+205930.088,05 45 26.791,+20 59 30.04,21.772,21.553,52
PSO J054503.114+205623.562,05 45 03.113,+20 56 23.48,20.124,20.291,52
PSO J054454.694+210141.943,05 44 54.697,+21 01 41.88,18.928,18.924,52
PSO J054521.595+210253.248,05 45 21.594,+21 02 53.23,22.097,21.869,52
PSO J054503.601+205620.267,05 45 03.601,+20 56 20.14,22.092,22.369,52
PSO J054501.196+205636.780,05 45 01.198,+20 56 36.72,19.362,19.470,52
PSO J054456.457+210223.476,05 44 56.457,+21 02 23.48,21.637,21.613,32
PSO J054453.177+205926.652,05 44 53.182,+20 59 26.55,19.976,19.938,52
PSO J054456.278+210220.356,05 44 56.279,+21 02 20.31,20.395,21.579,36
PSO J054505.944+205608.776,05 45 05.946,+20 56 08.74,20.888,20.856,60
PSO J054514.283+205609.424,05 45 14.286,+20 56 09.39,21.058,20.939,52
PSO J054458.725+205701.589,05 44 58.727,+20 57 01.48,17.603,17.617,52
PSO J054453.023+210016.756,05 44 53.018,+21 00 16.70,20.917,21.664,52
PSO J054525.104+210150.183,05 45 25.105,+21 01 50.13,19.751,19.766,52
PSO J054453.732+210111.295,05 44 53.734,+21 01 11.25,17.299,17.310,60
PSO J054524.858+205803.063,05 45 24.859,+20 58 03.04,18.216,18.199,52
PSO J054513.086+210354.838,05 45 13.088,+21 03 54.83,21.642,22.372,36
PSO J054514.518+210350.374,05 45 14.521,+21 03 50.36,18.825,18.826,60
PSO J054519.730+210316.340,05 45 19.731,+21 03 16.29,14.791,14.809,60
PSO J054454.466+210139.143,05 44 54.469,+21 01 39.07,20.980,20.836,52
PSO J054527.049+210013.471,05 45 27.050,+21 00 13.43,19.759,20.359,37
PSO J054454.072+205833.295,05 44 54.074,+20 58 33.22,19.464,19.443,52
PSO J054458.861+205658.578,05 44 58.860,+20 56 58.49,21.737,21.311,53
PSO J054456.938+210234.636,05 44 56.940,+21 02 34.58,20.416,20.488,52
PSO J054455.251+205758.957,05 44 55.251,+20 57 58.90,22.232,22.005,52
PSO J054458.268+210254.317,05 44 58.269,+21 02 54.28,15.908,15.916,60
PSO J054458.560+205702.037,05 44 58.560,+20 57 01.99,17.056,17.047,60
PSO J054453.993+210124.552,05 44 53.995,+21 01 24.51,20.665,21.621,52
PSO J054523.079+205725.585,05 45 23.080,+20 57 25.65,21.733,22.082,52
PSO J054453.249+210049.186,05 44 53.247,+21 00 48.89,19.635,20.010,53
PSO J054453.564+210107.150,05 44 53.565,+21 01 07.10,18.095,18.088,60
PSO J054453.205+210046.630,05 44 53.206,+21 00 46.58,15.941,15.954,60
PSO J054527.115+210005.466,05 45 27.115,+21 00 05.43,20.495,20.968,53
PSO J054511.990+210358.280,05 45 11.991,+21 03 58.25,21.003,21.791,52
PSO J054454.894+210153.514,05 44 54.898,+21 01 53.47,21.035,20.779,52
PSO J054526.232+210119.314,05 45 26.232,+21 01 19.28,22.072,21.800,52
PSO J054527.175+205943.902,05 45 27.175,+20 59 43.83,20.824,20.843,52
PSO J054456.158+210224.072,05 44 56.160,+21 02 24.03,20.127,21.476,52
PSO J054520.445+205647.220,05 45 20.445,+20 56 47.15,21.754,21.503,52
PSO J054454.053+210134.419,05 44 54.057,+21 01 34.33,20.364,20.304,60
PSO J054510.196+210402.388,05 45 10.197,+21 04 02.35,16.261,16.278,60
PSO J054508.664+210402.096,05 45 08.667,+21 04 02.04,19.436,19.429,52
PSO J054503.220+210343.478,05 45 03.221,+21 03 43.45,18.723,18.713,60
PSO J054457.068+205718.350,05 44 57.067,+20 57 18.24,20.744,20.605,52
PSO J054500.879+205633.341,05 45 00.881,+20 56 33.28,18.657,18.667,52
PSO J054457.516+205711.293,05 44 57.518,+20 57 11.23,21.432,21.610,52
PSO J054453.977+205826.679,05 44 53.980,+20 58 26.66,21.641,21.591,52
PSO J054518.628+210330.951,05 45 18.629,+21 03 30.91,19.060,19.041,52
PSO J054519.997+210319.144,05 45 19.998,+21 03 19.13,20.133,20.298,36
PSO J054525.320+210155.037,05 45 25.324,+21 01 54.99,19.841,19.812,60
PSO J054500.378+205637.283,05 45 00.380,+20 56 37.22,15.378,15.390,60
PSO J054501.245+210330.545,05 45 01.247,+21 03 30.53,21.200,21.449,52
PSO J054457.093+205716.608,05 44 57.095,+20 57 16.65,19.856,20.180,53
PSO J054459.533+210314.925,05 44 59.534,+21 03 14.89,18.519,18.511,60
PSO J054517.702+205621.382,05 45 17.706,+20 56 21.35,20.005,19.998,52
PSO J054455.901+210223.269,05 44 55.903,+21 02 23.24,22.311,21.361,36
PSO J054455.552+210217.632,05 44 55.553,+21 02 17.59,21.816,21.255,52
PSO J054452.581+205940.008,05 44 52.581,+20 59 39.94,21.775,22.373,165
PSO J054504.946+205605.546,05 45 04.945,+20 56 05.46,19.988,20.050,52
PSO J054521.459+210305.220,05 45 21.459,+21 03 05.18,18.304,18.301,52
PSO J054519.713+205636.237,05 45 19.716,+20 56 36.20,19.433,19.491,52
PSO J054452.611+205931.070,05 44 52.614,+20 59 30.99,20.930,20.825,52
PSO J054527.297+210038.996,05 45 27.298,+21 00 38.96,21.488,21.192,52
PSO J054519.167+205630.822,05 45 19.167,+20 56 30.69,20.507,21.229,37
PSO J054458.001+205700.964,05 44 58.002,+20 57 00.91,15.179,15.181,60
PSO J054525.193+210202.849,05 45 25.194,+21 02 02.80,20.981,20.924,52
PSO J054524.807+205748.390,05 45 24.808,+20 57 48.35,19.543,19.477,52
PSO J054527.375+205925.986,05 45 27.375,+20 59 25.99,21.986,22.503,32
PSO J054452.558+210027.223,05 44 52.560,+21 00 27.18,17.840,17.854,60
PSO J054524.594+210216.641,05 45 24.594,+21 02 16.64,21.633,21.796,32
PSO J054452.475+210015.524,05 44 52.476,+21 00 15.46,21.449,22.104,52
PSO J054457.556+210253.737,05 44 57.556,+21 02 53.74,21.253,20.252,32
PSO J054455.790+210224.851,05 44 55.792,+21 02 24.82,21.290,21.616,36
PSO J054453.044+205855.227,05 44 53.046,+20 58 55.16,18.130,18.119,60
PSO J054503.100+210346.694,05 45 03.101,+21 03 46.66,18.232,18.242,60
PSO J054452.646+205919.276,05 44 52.647,+20 59 19.20,21.883,22.483,37
PSO J054527.323+205916.279,05 45 27.323,+20 59 16.24,15.492,15.489,60
PSO J054502.459+210343.108,05 45 02.460,+21 03 43.08,17.039,17.043,60
PSO J054522.122+210259.233,05 45 22.123,+21 02 59.22,19.978,20.871,61
PSO J054504.386+205605.743,05 45 04.388,+20 56 05.70,15.280,15.293,60
PSO J054453.261+205841.521,05 44 53.261,+20 58 41.45,22.310,21.977,52
PSO J054527.208+210055.522,05 45 27.207,+21 00 55.44,21.985,21.550,52
PSO J054503.599+210350.483,05 45 03.600,+21 03 50.45,17.192,17.184,60
PSO J054525.313+205756.744,05 45 25.315,+20 57 56.72,18.054,18.047,52
PSO J054504.719+205603.948,05 45 04.721,+20 56 03.90,17.296,17.308,60
PSO J054515.081+205603.057,05 45 15.080,+20 56 03.03,20.075,20.993,53
PSO J054500.868+210331.890,05 45 00.870,+21 03 31.86,21.391,21.399,52
PSO J054452.490+205926.723,05 44 52.491,+20 59 26.66,20.725,20.734,52
PSO J054527.473+205922.704,05 45 27.474,+20 59 22.70,19.987,19.486,32
PSO J054510.630+205552.700,05 45 10.628,+20 55 52.61,22.953,22.007,52
PSO J054527.494+205924.155,05 45 27.495,+20 59 24.12,16.442,16.435,60
PSO J054502.120+205618.321,05 45 02.119,+20 56 18.26,21.948,22.226,52
PSO J054521.001+205645.760,05 45 21.001,+20 56 45.73,19.821,19.796,52
PSO J054512.016+210406.535,05 45 12.018,+21 04 06.50,21.111,21.275,52
PSO J054500.512+205630.468,05 45 00.514,+20 56 30.41,15.772,15.785,60
PSO J054527.708+205950.043,05 45 27.708,+20 59 50.01,16.037,16.042,60
PSO J054458.488+210309.075,05 44 58.488,+21 03 09.08,20.493,21.118,32
PSO J054516.182+210352.987,05 45 16.182,+21 03 52.97,21.168,21.088,52
PSO J054452.611+210049.909,05 44 52.611,+21 00 49.85,20.782,21.398,52
PSO J054524.702+210220.006,05 45 24.704,+21 02 19.95,15.989,15.993,60
PSO J054519.835+205632.655,05 45 19.837,+20 56 32.62,17.304,17.297,60
PSO J054454.434+205759.835,05 44 54.432,+20 57 59.75,20.298,20.206,52
PSO J054510.665+210409.177,05 45 10.670,+21 04 09.17,21.452,21.154,52
PSO J054526.598+205829.806,05 45 26.598,+20 58 29.77,18.198,18.187,60
PSO J054526.692+205833.142,05 45 26.693,+20 58 33.11,19.107,19.079,52
PSO J054527.723+205935.138,05 45 27.722,+20 59 35.15,21.019,20.965,52
PSO J054514.987+205600.306,05 45 14.988,+20 56 00.33,20.101,20.462,53
PSO J054527.488+205910.319,05 45 27.488,+20 59 10.29,19.045,18.991,52
PSO J054510.318+210409.982,05 45 10.319,+21 04 09.93,20.652,20.574,52
PSO J054512.654+210407.203,05 45 12.656,+21 04 07.20,21.451,22.211,52
PSO J054509.108+210410.099,05 45 09.107,+21 04 10.03,21.727,21.434,52
PSO J054452.428+205913.542,05 44 52.430,+20 59 13.48,20.849,20.631,52
PSO J054527.235+210107.459,05 45 27.236,+21 01 07.43,21.714,22.047,52
PSO J054453.316+210131.075,05 44 53.317,+21 01 31.05,20.354,21.054,52
PSO J054514.582+210402.648,05 45 14.580,+21 04 02.63,21.616,21.665,36
PSO J054522.152+210304.689,05 45 22.155,+21 03 04.64,19.854,19.882,52
PSO J054458.961+205641.995,05 44 58.962,+20 56 41.94,22.290,22.329,52
PSO J054503.083+205608.197,05 45 03.087,+20 56 08.11,20.092,20.082,52
PSO J054453.959+205807.252,05 44 53.960,+20 58 07.19,21.846,21.851,52
PSO J054527.855+205930.905,05 45 27.856,+20 59 30.99,19.729,19.755,52
PSO J054505.315+210403.189,05 45 05.316,+21 04 03.19,21.841,21.787,32
PSO J054459.510+210324.705,05 44 59.511,+21 03 24.67,18.778,18.763,60
PSO J054525.186+205744.991,05 45 25.189,+20 57 44.97,16.779,16.777,60
PSO J054526.489+205819.190,05 45 26.490,+20 58 19.17,20.447,20.345,52
PSO J054452.402+210054.407,05 44 52.403,+21 00 54.35,19.488,20.496,37
PSO J054453.141+205830.759,05 44 53.141,+20 58 30.76,20.852,20.432,32
PSO J054509.672+205547.595,05 45 09.674,+20 55 47.55,18.300,18.280,60
PSO J054520.640+210323.970,05 45 20.640,+21 03 23.92,18.897,18.921,60
PSO J054513.052+210409.106,05 45 13.054,+21 04 09.10,21.668,21.703,52
PSO J054454.980+210220.831,05 44 54.978,+21 02 20.40,20.262,21.548,37
PSO J054513.433+205551.627,05 45 13.435,+20 55 51.60,20.692,20.657,52
PSO J054452.564+205853.587,05 44 52.566,+20 58 53.53,18.203,18.193,60
PSO J054506.023+205553.111,05 45 06.029,+20 55 53.06,20.390,20.326,60
PSO J054506.535+205551.545,05 45 06.537,+20 55 51.48,17.457,17.464,60
PSO J054513.569+210408.350,05 45 13.570,+21 04 08.35,21.000,21.886,37
PSO J054452.707+205845.749,05 44 52.707,+20 58 45.68,22.535,21.943,52
PSO J054520.670+205635.497,05 45 20.672,+20 56 35.46,18.981,19.029,52
PSO J054501.806+205614.116,05 45 01.804,+20 56 14.02,21.846,22.258,52
PSO J054520.239+210329.093,05 45 20.240,+21 03 29.08,21.381,22.005,37
PSO J054455.265+210227.649,05 44 55.268,+21 02 27.59,19.428,19.381,52
PSO J054452.044+210033.811,05 44 52.045,+21 00 33.75,20.287,20.839,37
PSO J054523.243+205706.971,05 45 23.245,+20 57 06.93,18.411,18.411,60
PSO J054527.715+205906.907,05 45 27.716,+20 59 06.86,18.579,19.225,37
PSO J054522.739+205659.579,05 45 22.740,+20 56 59.55,20.701,20.588,52
PSO J054458.433+210315.537,05 44 58.435,+21 03 15.51,21.421,21.584,36
PSO J054453.061+205829.523,05 44 53.063,+20 58 29.46,17.365,17.368,60
PSO J054455.822+210238.370,05 44 55.823,+21 02 38.33,19.768,21.097,37
PSO J054456.255+210245.812,05 44 56.261,+21 02 45.77,20.197,20.995,37
PSO J054453.158+205825.326,05 44 53.160,+20 58 25.26,17.325,17.328,60
PSO J054457.030+210257.871,05 44 57.031,+21 02 57.87,15.337,15.876,128
PSO J054514.678+205554.202,05 45 14.676,+20 55 54.16,22.326,22.305,52
PSO J054511.142+210413.946,05 45 11.143,+21 04 13.94,21.270,21.249,52
PSO J054455.989+210242.207,05 44 55.990,+21 02 42.21,20.290,20.941,32
PSO J054511.750+210413.425,05 45 11.751,+21 04 13.38,19.742,19.724,52
PSO J054513.968+205551.572,05 45 13.970,+20 55 51.54,21.318,21.273,52
PSO J054504.200+205558.752,05 45 04.202,+20 55 58.69,20.041,20.141,52
PSO J054510.625+210415.064,05 45 10.625,+21 04 15.02,19.398,19.372,60
PSO J054503.263+210357.170,05 45 03.265,+21 03 57.13,19.700,19.658,52
PSO J054457.004+210259.020,05 44 57.006,+21 02 58.99,14.442,10.865,36
PSO J054518.121+205611.534,05 45 18.123,+20 56 11.51,15.007,15.015,60
PSO J054528.064+210035.521,05 45 28.064,+21 00 35.49,16.842,16.836,60
PSO J054505.744+205551.700,05 45 05.743,+20 55 51.59,21.960,22.016,52
PSO J054504.734+210404.662,05 45 04.735,+21 04 04.63,18.927,18.903,60
PSO J054519.599+210337.482,05 45 19.600,+21 03 37.43,14.317,14.345,60
PSO J054452.833+205831.986,05 44 52.833,+20 58 31.91,21.728,21.456,52
