objName,raMean,decMean,rMeanApMag,rMeanPSFMag,qualityFlag
string,ra,dec,float,float,integer
PSO J054516.662+210555.206,05 45 16.678,+21 05 55.08,20.440,20.780,53
PSO J054500.303+210541.230,05 45 00.305,+21 05 41.22,21.600,21.941,52
PSO J054443.765+210002.587,05 44 43.765,+21 00 02.59,19.614,20.253,32
PSO J054504.431+210559.103,05 45 04.431,+21 05 59.05,21.188,21.964,37
PSO J054516.524+205404.157,05 45 16.527,+20 54 04.11,17.902,17.896,60
PSO J054535.296+210138.077,05 45 35.296,+21 01 38.03,18.978,18.953,60
PSO J054535.653+210117.377,05 45 35.660,+21 01 17.25,17.944,18.021,60
PSO J054535.615+205839.954,05 45 35.616,+20 58 39.91,18.000,17.998,60
PSO J054454.381+210455.645,05 44 54.386,+21 04 55.54,21.304,21.981,53
PSO J054501.051+205414.331,05 45 01.069,+20 54 14.31,21.657,21.533,52
PSO J054517.516+205407.632,05 45 17.518,+20 54 07.60,17.916,17.908,60
PSO J054516.125+205402.448,05 45 16.125,+20 54 02.33,21.848,22.163,52
PSO J054509.294+205352.221,05 45 09.288,+20 53 52.31,20.515,21.508,37
PSO J054505.979+210603.521,05 45 05.980,+21 06 03.53,21.056,20.856,52
PSO J054524.727+210504.740,05 45 24.727,+21 05 04.70,19.820,19.787,52
PSO J054445.872+205734.434,05 44 45.875,+20 57 34.34,20.286,20.241,52
PSO J054536.015+205907.701,05 45 36.012,+20 59 07.65,21.485,21.986,52
PSO J054505.790+210603.319,05 45 05.790,+21 06 03.29,19.045,19.060,60
PSO J054515.687+205400.711,05 45 15.689,+20 54 00.69,19.883,19.824,52
PSO J054451.032+210415.042,05 44 51.034,+21 04 15.04,22.010,21.840,52
PSO J054534.269+205738.503,05 45 34.271,+20 57 38.49,20.667,20.669,52
PSO J054505.743+205356.707,05 45 05.743,+20 53 56.59,21.601,21.809,36
PSO J054535.432+205826.094,05 45 35.433,+20 58 26.03,20.511,20.466,52
PSO J054535.860+210108.354,05 45 35.861,+21 01 08.32,22.278,21.608,52
PSO J054521.282+210533.012,05 45 21.282,+21 05 32.98,17.640,17.652,60
PSO J054443.682+210003.744,05 44 43.684,+21 00 03.69,15.158,15.171,60
PSO J054451.109+205543.116,05 44 51.108,+20 55 43.02,21.534,21.542,52
PSO J054507.981+205352.133,05 45 07.983,+20 53 52.07,19.308,19.339,52
PSO J054456.444+205443.573,05 44 56.447,+20 54 43.54,21.002,20.866,52
PSO J054518.945+205412.874,05 45 18.943,+20 54 12.84,21.213,21.080,52
PSO J054444.978+210156.208,05 44 44.980,+21 01 56.14,21.177,21.375,36
PSO J054532.797+205654.827,05 45 32.796,+20 56 54.80,20.456,20.893,53
PSO J054534.987+205802.381,05 45 34.987,+20 58 02.35,19.451,19.407,52
PSO J054443.879+205909.973,05 44 43.879,+20 59 09.90,21.323,22.175,53
PSO J054453.041+205517.140,05 44 53.039,+20 55 17.11,21.194,21.136,52
PSO J054517.683+210553.655,05 45 17.682,+21 05 53.63,21.410,21.166,52
PSO J054513.650+210606.171,05 45 13.652,+21 06 06.12,20.189,20.110,52
PSO J054504.942+210603.066,05 45 04.942,+21 06 03.01,21.567,22.244,37
PSO J054535.291+210146.734,05 45 35.292,+21 01 46.70,19.590,19.548,52
PSO J054509.043+210609.629,05 45 09.046,+21 06 09.64,20.483,20.792,37
PSO J054458.671+210534.182,05 44 58.674,+21 05 34.18,21.394,22.217,52
PSO J054507.291+205352.059,05 45 07.293,+20 53 52.00,18.660,18.655,52
PSO J054503.299+210557.918,05 45 03.301,+21 05 57.88,19.716,19.660,52
PSO J054515.944+210600.544,05 45 15.945,+21 06 00.51,18.572,18.542,60
PSO J054443.588+205948.037,05 44 43.589,+20 59 47.96,21.366,22.176,165
PSO J054536.408+205945.482,05 45 36.406,+20 59 45.43,21.840,21.626,52
PSO J054536.369+210025.875,05 45 36.369,+21 00 25.84,21.214,21.873,36
PSO J054519.798+210543.816,05 45 19.799,+21 05 43.85,21.894,21.844,52
PSO J054529.987+210402.512,05 45 29.987,+21 04 02.47,18.645,18.650,60
PSO J054522.114+210529.194,05 45 22.115,+21 05 29.16,17.541,17.547,60
PSO J054514.998+205356.443,05 45 15.004,+20 53 56.37,20.476,20.339,52
PSO J054449.483+205605.443,05 44 49.523,+20 56 05.63,21.805,21.748,53
PSO J054450.478+210410.185,05 44 50.483,+21 04 10.13,21.395,21.469,52
PSO J054534.393+210223.513,05 45 34.393,+21 02 23.47,17.567,17.566,60
PSO J054536.122+210058.659,05 45 36.123,+21 00 58.62,17.180,17.179,60
