Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.07  0.21  0.13170 -2.764 3.474  5.165  8.80  0.038 0.00 20.479 26.791 24.952 23.192 21.825 20.100 18.557 18.022 17.736  0.132
 1   9.09 -0.35  0.26900 -1.931 3.575  5.046  7.50  0.036 0.00 17.098 20.896 19.701 18.292 17.337 16.431 15.428 14.849 14.652  0.269
 1   9.09 -0.21  0.12360 -2.790 3.485  5.208 11.60  0.038 0.96 22.641 28.982 26.982 25.168 23.837 22.203 20.757 20.198 19.930  0.124
 1   9.09 -0.17  0.12548 -2.778 3.485  5.202  7.40  0.036 0.00 19.115 25.337 23.403 21.614 20.297 18.674 17.232 16.677 16.407  0.125
 1   9.09 -0.11  0.08433 -3.427 3.396  5.322  8.70  0.038 0.00 22.039 32.240 28.858 26.632 24.594 22.241 19.946 19.385 19.084  0.084
 1   9.09 -0.11  0.27994 -1.940 3.563  5.024  8.80  0.038 0.00 18.419 22.509 21.247 19.818 18.831 17.780 16.711 16.129 15.917  0.280
 1   9.09  0.05  0.15263 -2.568 3.498  5.129  7.40  0.036 0.00 18.591 24.145 22.535 20.881 19.650 18.117 16.729 16.191 15.920  0.153
 1   9.09  0.11  0.28333 -1.960 3.552  5.005  6.40  0.032 0.00 16.070 20.392 19.082 17.623 16.608 15.453 14.334 13.756 13.525  0.283
 1   9.09  0.15  0.10029 -3.077 3.443  5.236 11.80  0.038 0.76 24.017 31.892 29.567 27.627 25.991 23.959 22.004 21.438 21.130  0.100
 1   9.09  0.17  0.29319 -1.938 3.551  4.994  9.10  0.038 0.87 18.101 22.517 21.186 19.710 18.681 17.497 16.357 15.783 15.547  0.293
 1   9.11  0.07  0.11547 -2.891 3.467  5.204  8.60  0.038 0.00 20.598 27.251 25.285 23.479 22.053 20.259 18.654 18.118 17.831  0.115
 1   9.13 -0.19  2.41139 -1.637 4.308  8.108  8.40  0.037 0.00 17.263 18.275 19.022 19.061 19.160 19.273 19.562 19.607 19.692  0.713
 1   9.13 -0.13  0.22345 -2.125 3.553  5.070  5.10  0.024 0.00 15.183 19.524 18.163 16.673 15.662 14.555 13.458 12.882 12.651  0.223
 1   9.13 -0.07  0.37404 -1.690 3.577  4.954  7.30  0.035 0.00 16.296 20.070 18.925 17.575 16.622 15.634 14.601 14.011 13.826  0.374
 1   9.13  0.03  0.09951 -3.081 3.446  5.249  8.30  0.037 0.00 20.773 28.292 26.014 24.100 22.520 20.549 18.775 18.239 17.946  0.100
 1   9.13  0.09  0.16329 -2.499 3.505  5.117  7.50  0.036 0.77 18.081 23.684 22.070 20.413 19.173 17.622 16.209 15.670 15.398  0.163
 1   9.13  0.15  2.91513 -1.710 4.308  8.187  8.50  0.037 0.75 17.446 18.320 19.014 18.989 19.057 19.129 19.364 19.376 19.450  0.725
 1   9.15  0.17  0.31381 -1.879 3.555  4.981 10.30  0.038 0.92 19.098 23.405 22.104 20.652 19.638 18.484 17.363 16.784 16.554  0.314
 1   9.15  0.21  0.15080 -2.599 3.490  5.122 12.10  0.038 0.99 22.638 28.456 26.774 25.085 23.805 22.201 20.754 20.217 19.940  0.151
 1   9.17 -0.25  0.80451 -0.495 3.710  4.624  7.40  0.036 0.00 13.406 14.975 14.530 13.658 13.156 12.732 12.144 11.666 11.609  0.805
 1   9.17 -0.15  0.34998 -1.745 3.578  4.983  7.30  0.035 0.00 16.432 20.182 19.028 17.666 16.718 15.767 14.750 14.161 13.974  0.350
 1   9.17  0.01  1.57619  0.927 3.835  3.994  7.80  0.037 0.00 10.252 10.653 10.647 10.257 10.014  9.801  9.551  9.366  9.345  1.576
 1   9.17  0.09  0.75652 -0.730 3.664  4.649  8.10  0.037 0.00 14.696 17.195 16.294 15.210 14.545 14.021 13.272 12.658 12.581  0.757
 1   9.17  0.21  0.28521 -1.965 3.548  4.997  8.60  0.038 0.74 17.798 22.308 20.955 19.464 18.419 17.203 16.042 15.473 15.233  0.285
 1   9.19 -0.11  0.11701 -2.859 3.476  5.214 11.80  0.038 0.00 23.718 30.203 28.216 26.405 25.032 23.319 21.805 21.257 20.981  0.117
 1   9.19  0.05  1.58242  0.927 3.827  3.965  7.00  0.034 0.72  9.267  9.741  9.720  9.278  9.005  8.768  8.484  8.268  8.245  1.582
 1   9.21 -0.23  0.15115 -2.545 3.509  5.145  9.10  0.038 0.75 19.822 25.540 23.767 22.041 20.816 19.332 17.979 17.416 17.154  0.151
 1   9.21 -0.03  0.14622 -2.611 3.496  5.145 12.00  0.038 0.97 22.596 28.311 26.633 24.948 23.694 22.135 20.727 20.185 19.913  0.146
 1   9.21 -0.01  0.18263 -2.353 3.526  5.103  8.60  0.038 1.00 18.502 23.373 21.932 20.379 19.272 17.940 16.704 16.151 15.902  0.183
 1   9.21 -0.01  0.19121 -2.294 3.533  5.092 10.60  0.038 0.96 20.414 25.198 23.776 22.236 21.145 19.844 18.628 18.071 17.824  0.191
 1   9.21  0.01  0.27612 -1.967 3.556  5.015  7.00  0.034 0.00 16.687 20.930 19.643 18.200 17.194 16.064 14.957 14.378 14.154  0.276
 1   9.21  0.05  0.14577 -2.624 3.492  5.142  6.20  0.031 0.00 17.530 23.258 21.594 19.915 18.653 17.075 15.652 15.115 14.841  0.146
 1   9.21  0.21  0.69092 -0.921 3.637  4.692  9.40  0.038 0.00 16.473 19.470 18.400 17.212 16.449 15.817 14.966 14.286 14.191  0.691
 1   9.21  0.25  0.23092 -2.142 3.537  5.037  9.10  0.038 0.00 19.225 23.855 22.477 20.967 19.901 18.643 17.455 16.892 16.648  0.231
 1   9.23 -0.43  0.08566 -3.410 3.406  5.352  9.60  0.038 0.00 22.894 32.624 29.416 27.244 25.288 22.996 20.814 20.260 19.964  0.086
 1   9.23 -0.31  2.07935 -1.292 4.385  8.053  8.70  0.038 0.00 16.699 18.017 18.850 18.957 19.070 19.210 19.534 19.603 19.695  0.690
 1   9.23 -0.21  2.12762 -1.295 4.381  8.044  6.90  0.034 0.00 14.907 16.205 17.032 17.138 17.251 17.390 17.714 17.782 17.874  0.695
 1   9.23 -0.19  0.18844 -2.285 3.541  5.107  8.90  0.038 0.86 18.840 23.687 22.177 20.591 19.506 18.265 17.073 16.506 16.257  0.188
 1   9.23 -0.11  0.54994 -1.229 3.614  4.810 11.80  0.038 0.00 19.643 22.824 21.774 20.529 19.699 18.988 18.084 17.407 17.284  0.550
 1   9.23 -0.01  0.17992 -2.372 3.524  5.106  7.70  0.036 0.00 18.400 23.320 21.867 20.307 19.192 17.844 16.597 16.046 15.794  0.180
 1   9.23  0.09  0.88927 -0.385 3.712  4.567  8.30  0.037 0.00 14.032 15.709 15.172 14.272 13.761 13.345 12.765 12.300 12.246  0.889
 1   9.23  0.17  0.10838 -2.970 3.455  5.211  9.10  0.038 0.00 21.296 28.384 26.274 24.415 22.909 21.018 19.321 18.787 18.495  0.108
 1   9.23  0.33  1.05381 -0.022 3.754  4.445  8.10  0.037 0.92 12.377 13.664 13.293 12.500 12.058 11.702 11.227 10.860 10.818  1.054
 1   9.25 -0.21  0.38813 -1.624 3.587  4.944  8.20  0.037 0.00 17.030 20.607 19.495 18.158 17.238 16.364 15.382 14.776 14.604  0.388
